"Start Time","Request Type","Latency","Response Code"
"1696739082866","GET","16","200"
"1696739082866","GET","16","200"
"1696739082871","GET","17","200"
"1696739082872","GET","16","200"
"1696739082880","GET","17","200"
"1696739082876","GET","22","200"
"1696739082880","GET","18","200"
"1696739082882","GET","17","200"
"1696739082880","GET","19","200"
"1696739082880","GET","19","200"
"1696739082881","GET","18","200"
"1696739082888","GET","12","200"
"1696739082882","GET","18","200"
"1696739082888","GET","12","200"
"1696739082897","GET","19","200"
"1696739082899","GET","26","200"
"1696739082900","GET","25","200"
"1696739082899","GET","26","200"
"1696739082899","GET","26","200"
"1696739082900","GET","25","200"
"1696739082899","GET","26","200"
"1696739082898","GET","27","200"
"1696739082898","GET","27","200"
"1696739082900","GET","25","200"
"1696739082916","GET","15","200"
"1696739082925","GET","15","200"
"1696739082925","GET","15","200"
"1696739082925","GET","16","200"
"1696739082925","GET","16","200"
"1696739082925","GET","18","200"
"1696739082931","GET","12","200"
"1696739082925","GET","18","200"
"1696739082925","GET","18","200"
"1696739082925","GET","18","200"
"1696739082925","GET","18","200"
"1696739082940","GET","16","200"
"1696739082941","GET","15","200"
"1696739082940","GET","16","200"
"1696739082941","GET","15","200"
"1696739082943","GET","15","200"
"1696739082943","GET","17","200"
"1696739082943","GET","18","200"
"1696739082943","GET","18","200"
"1696739082943","GET","18","200"
"1696739082943","GET","18","200"
"1696739082956","GET","14","200"
"1696739082956","GET","14","200"
"1696739082956","GET","14","200"
"1696739082956","GET","14","200"
"1696739082958","GET","14","200"
"1696739082961","GET","13","200"
"1696739082961","GET","13","200"
"1696739082960","GET","16","200"
"1696739082961","GET","15","200"
"1696739082961","GET","15","200"
"1696739082970","GET","12","200"
"1696739082970","GET","12","200"
"1696739082970","GET","12","200"
"1696739082970","GET","14","200"
"1696739082972","GET","12","200"
"1696739082974","GET","13","200"
"1696739082976","GET","14","200"
"1696739082976","GET","14","200"
"1696739082974","GET","17","200"
"1696739082976","GET","15","200"
"1696739082982","GET","13","200"
"1696739082982","GET","17","200"
"1696739082984","GET","15","200"
"1696739082984","GET","15","200"
"1696739082982","GET","17","200"
"1696739082987","GET","14","200"
"1696739082990","GET","14","200"
"1696739082990","GET","14","200"
"1696739082991","GET","14","200"
"1696739082991","GET","16","200"
"1696739082996","GET","14","200"
"1696739082999","GET","11","200"
"1696739082999","GET","17","200"
"1696739083001","GET","15","200"
"1696739082999","GET","17","200"
"1696739082999","GET","17","200"
"1696739083010","GET","18","200"
"1696739083004","GET","24","200"
"1696739083010","GET","18","200"
"1696739083004","GET","24","200"
"1696739083005","GET","23","200"
"1696739083007","GET","21","200"
"1696739083016","GET","13","200"
"1696739083016","GET","14","200"
"1696739083016","GET","14","200"
"1696739083016","GET","15","200"
"1696739083028","GET","12","200"
"1696739083028","GET","12","200"
"1696739083028","GET","13","200"
"1696739083029","GET","13","200"
"1696739083028","GET","15","200"
"1696739083028","GET","15","200"
"1696739083028","GET","15","200"
"1696739083030","GET","13","200"
"1696739083030","GET","13","200"
"1696739083031","GET","14","200"
"1696739083040","GET","11","200"
"1696739083040","GET","18","200"
"1696739083041","GET","17","200"
"1696739083043","GET","15","200"
"1696739083043","GET","15","200"
"1696739083043","GET","15","200"
"1696739083042","GET","16","200"
"1696739083043","GET","15","200"
"1696739083043","GET","15","200"
"1696739083045","GET","19","200"
"1696739083051","GET","13","200"
"1696739083058","GET","12","200"
"1696739083058","GET","12","200"
"1696739083058","GET","14","200"
"1696739083058","GET","14","200"
"1696739083058","GET","14","200"
"1696739083058","GET","14","200"
"1696739083058","GET","14","200"
"1696739083058","GET","14","200"
"1696739083064","GET","19","200"
"1696739083070","GET","13","200"
"1696739083070","GET","13","200"
"1696739083064","GET","20","200"
"1696739083072","GET","18","200"
"1696739083072","GET","19","200"
"1696739083072","GET","19","200"
"1696739083072","GET","19","200"
"1696739083072","GET","19","200"
"1696739083072","GET","19","200"
"1696739083083","GET","13","200"
"1696739083084","GET","25","200"
"1696739083091","GET","18","200"
"1696739083090","GET","19","200"
